Time,Temp(C),Humidity(%)
00:00:03,30.50,65.00
00:00:05,30.40,65.00
00:00:07,30.40,65.00
00:00:09,30.40,65.00
00:00:11,30.40,65.00
00:00:13,30.40,65.00
00:00:15,30.40,65.00
00:00:17,30.40,65.00
00:00:19,30.40,65.00
00:00:21,30.40,65.00
00:00:23,30.40,65.00
00:00:25,30.40,65.00
Time,Temp(C),Humidity(%)
00:00:03,30.50,65.00
00:00:05,30.40,65.00
00:00:07,30.50,65.00
00:00:09,30.40,65.00
00:00:11,30.40,65.00
00:00:14,30.40,65.00
00:00:16,30.40,65.00
00:00:18,30.40,65.00
00:00:20,30.40,65.00
00:00:22,30.40,65.00
00:00:24,30.50,65.00
00:00:26,30.50,65.00
00:00:28,30.40,65.00
00:00:30,30.40,65.00
00:00:32,30.50,66.00
00:00:34,30.50,66.00
00:00:36,30.50,67.00
00:00:38,30.50,67.00
00:00:40,30.50,66.00
00:00:43,30.50,66.00
00:00:45,30.50,66.00
00:00:47,30.50,66.00
00:00:49,30.60,66.00
00:00:51,30.60,66.00
00:00:53,30.60,66.00
00:00:55,30.60,66.00
00:00:57,30.60,65.00
00:00:59,30.60,65.00
00:01:01,30.60,65.00
00:01:03,30.60,65.00
00:01:05,30.60,65.00
00:01:07,30.60,65.00
00:01:09,30.70,65.00
00:01:11,30.70,65.00
00:01:14,30.60,65.00
00:01:16,30.70,65.00
00:01:18,30.70,64.00
00:01:20,30.70,64.00
00:01:22,30.70,64.00
00:01:24,30.70,64.00
00:01:26,30.70,64.00
00:01:28,30.70,64.00
00:01:30,30.70,64.00
00:01:32,30.70,64.00
00:01:34,30.70,64.00
00:01:36,30.80,64.00
00:01:38,30.70,64.00
00:01:40,30.80,64.00
00:01:42,30.80,64.00
00:01:45,30.70,64.00
00:01:47,30.70,64.00
00:01:49,30.80,64.00
00:01:51,30.70,64.00
00:01:53,30.80,64.00
00:01:55,30.80,64.00
00:01:57,30.80,64.00
00:01:59,30.80,64.00
00:02:01,30.80,64.00
00:02:03,30.80,64.00
00:02:05,30.80,64.00
00:02:07,30.80,64.00
00:02:09,30.80,64.00
00:02:11,30.80,64.00
00:02:14,30.80,64.00
00:02:16,30.80,64.00
00:02:18,30.80,64.00
00:02:20,30.80,64.00
00:02:22,30.80,64.00
00:02:24,30.80,64.00
00:02:26,30.80,64.00
00:02:28,30.80,64.00
00:02:30,30.80,64.00
00:02:32,30.80,64.00
00:02:34,30.80,64.00
00:02:36,30.80,64.00
00:02:38,30.80,64.00
00:02:40,30.80,64.00
00:02:42,30.80,64.00
00:02:45,30.80,64.00
00:02:47,30.80,64.00
00:02:49,30.80,64.00
00:02:51,30.80,64.00
00:02:53,30.80,64.00
00:02:55,30.80,64.00
00:02:57,30.80,64.00
00:02:59,30.80,64.00
00:03:01,30.80,65.00
00:03:03,30.90,65.00
00:03:05,30.90,65.00
00:03:07,30.90,65.00
00:03:09,30.90,65.00
00:03:11,30.90,65.00
00:03:14,31.00,65.00
00:03:16,31.00,65.00
00:03:18,31.00,65.00
00:03:20,31.10,65.00
00:03:22,31.10,65.00
00:03:24,31.10,65.00
00:03:26,31.10,65.00
00:03:28,31.10,64.00
00:03:30,31.10,64.00
00:03:32,31.10,64.00
00:03:34,31.10,64.00
00:03:36,31.10,64.00
00:03:38,31.20,64.00
00:03:40,31.20,64.00
00:03:42,31.20,64.00
00:03:45,31.10,64.00
00:03:47,31.20,64.00
00:03:49,31.20,64.00
00:03:51,31.20,64.00
00:03:53,31.20,64.00
00:03:55,31.20,64.00
00:03:57,31.20,64.00
00:03:59,31.20,64.00
Time,Temp(C),Humidity(%)
00:00:03,31.20,64.00
00:00:05,31.20,64.00
00:00:07,31.20,64.00
00:00:09,31.20,64.00
00:00:12,31.20,64.00
Time,Temp(C),Humidity(%)
00:00:03,31.10,64.00
00:00:05,31.10,64.00
00:00:07,31.10,64.00
00:00:09,31.10,64.00
00:00:11,31.10,64.00
00:00:14,31.10,64.00
00:00:16,31.10,64.00
00:00:18,31.10,64.00
00:00:20,31.10,64.00
00:00:22,31.10,64.00
00:00:24,31.10,64.00
00:00:26,31.10,64.00
00:00:28,31.10,64.00
00:00:30,31.10,64.00
00:00:32,31.10,64.00
00:00:34,31.10,64.00
00:00:36,31.10,64.00
00:00:38,31.00,64.00
00:00:40,31.10,64.00
00:00:43,31.00,64.00
00:00:45,31.10,64.00
00:00:47,31.10,64.00
